time,iteration,active,new,finished,ready,io,cpuExecuted,cpuWaste,contextSwitches,contextTime,ioOperations,pageFaults,usedFrames,freeFrames,largestFreeRun,fragmentation,avgWaiting,avgExecution,cpuUtilization,quantum,algorithmChanges
2636073,44000,150,79,21,109,41,1757137,0,44000,878914,5256,24990,160,0,0,0.000,1261710.250,7028.548,0.667,20,0
2696383,45000,150,77,23,111,39,1797339,0,45000,899022,5360,25442,160,0,0,0.000,1309048.750,7189.356,0.667,20,0
2757948,46000,150,77,23,99,51,1838983,0,46000,918943,5501,26039,160,0,0,0.000,1334480.500,7355.932,0.667,20,0
2818237,47000,150,77,23,114,36,1879088,0,47000,939127,5600,26466,160,0,0,0.000,1361221.000,7516.352,0.667,20,0
2876552,48000,150,76,24,113,37,1917545,0,48000,958985,5731,27014,160,0,0,0.000,1397924.875,7670.180,0.667,20,0
2934459,49000,150,76,24,117,33,1955562,0,49000,978875,5842,27502,160,0,0,0.000,1423049.375,7822.248,0.666,20,0
2994485,50000,150,76,24,109,41,1995628,0,50000,998835,5961,28020,160,0,0,0.000,1450120.500,7982.512,0.666,20,0
3054773,51000,150,76,24,96,54,2035902,0,51000,1018849,6097,28595,160,0,0,0.000,1475540.500,8143.608,0.666,20,0
3114832,52000,150,76,24,114,36,2075888,0,52000,1038922,6208,29049,160,0,0,0.000,1501119.375,8303.552,0.666,20,0
3174700,53000,150,76,24,106,44,2115703,0,53000,1058975,6337,29592,160,0,0,0.000,1528419.500,8462.812,0.666,20,0
3234689,54000,150,76,24,116,34,2155523,0,54000,1079144,6451,30078,160,0,0,0.000,1554462.000,8622.092,0.666,20,0
3295447,55000,150,75,25,109,41,2195962,0,55000,1099463,6564,30542,160,0,0,0.000,1594999.375,8783.848,0.666,20,0
3355418,56000,150,75,25,111,39,2236002,0,56000,1119394,6685,31047,160,0,0,0.000,1621427.625,8944.008,0.666,20,0
3414145,57000,150,75,25,117,33,2274878,0,57000,1139245,6816,31606,160,0,0,0.000,1646854.500,9099.512,0.666,20,0
3473851,58000,150,75,25,103,47,2314488,0,58000,1159341,6942,32125,160,0,0,0.000,1673685.500,9257.952,0.666,20,0
3533399,59000,150,74,26,108,42,2354215,0,59000,1179162,7080,32703,160,0,0,0.000,1712412.500,9416.860,0.666,20,0
3593136,60000,150,74,26,110,40,2393970,0,60000,1199144,7189,33166,160,0,0,0.000,1739025.750,9575.880,0.666,20,0
3652295,61000,150,72,28,101,49,2433305,0,61000,1218968,7314,33714,160,0,0,0.000,1795137.875,9733.220,0.666,20,0
3711927,62000,150,71,29,101,49,2472836,0,62000,1239069,7433,34208,160,0,0,0.000,1835241.750,9891.344,0.666,20,0
3773057,63000,150,70,30,106,44,2513737,0,63000,1259298,7552,34711,160,0,0,0.000,1876981.000,10054.948,0.666,20,0
3832663,64000,150,70,30,100,50,2553713,0,64000,1278928,7667,35203,160,0,0,0.000,1903732.375,10214.852,0.666,20,0
3893114,65000,150,69,31,112,38,2593947,0,65000,1299145,7783,35696,160,0,0,0.000,1944684.375,10375.788,0.666,20,0
3952247,66000,150,68,32,112,38,2633395,0,66000,1318830,7896,36175,160,0,0,0.000,1987333.375,10533.580,0.666,20,0
4012434,67000,150,67,33,110,40,2673738,0,67000,1338674,8031,36751,160,0,0,0.000,2029496.250,10694.952,0.666,20,0
4071948,68000,150,67,33,110,40,2713213,0,68000,1358713,8159,37302,160,0,0,0.000,2055506.500,10852.852,0.666,20,0
4131400,69000,150,67,33,119,31,2752798,0,69000,1378580,8288,37849,160,0,0,0.000,2080322.000,11011.192,0.666,20,0
4191013,70000,150,67,33,112,38,2792481,0,70000,1398510,8416,38415,160,0,0,0.000,2107032.500,11169.924,0.666,20,0
4250520,71000,150,67,33,105,45,2832276,0,71000,1418222,8542,38940,160,0,0,0.000,2132811.000,11329.104,0.666,20,0
4311008,72000,150,66,34,123,27,2872862,0,72000,1438124,8649,39418,160,0,0,0.000,2176041.500,11491.448,0.666,20,0
4370237,73000,150,65,35,107,43,2912215,0,73000,1458000,8777,39936,160,0,0,0.000,2219521.000,11648.860,0.666,20,0
4430682,74000,150,65,35,114,36,2952736,0,74000,1477924,8898,40441,160,0,0,0.000,2245083.500,11810.944,0.666,20,0
4491206,75000,150,65,35,101,49,2992740,0,75000,1498444,9039,41036,160,0,0,0.000,2270656.500,11970.960,0.666,20,0
4551227,76000,150,65,35,108,42,3032876,0,76000,1518329,9162,41553,160,0,0,0.000,2296026.500,12131.504,0.666,20,0
4609975,77000,150,64,36,106,44,3071765,0,77000,1538188,9277,42050,160,0,0,0.000,2339834.500,12287.060,0.666,20,0
4669834,78000,150,64,36,114,36,3111633,0,78000,1558179,9394,42545,160,0,0,0.000,2366441.500,12446.532,0.666,20,0
4730396,79000,150,64,36,111,39,3152169,0,79000,1578205,9520,43087,160,0,0,0.000,2392938.250,12608.676,0.666,20,0
4789611,80000,150,64,36,106,44,3191637,0,80000,1597952,9657,43673,160,0,0,0.000,2419020.750,12766.548,0.666,20,0
4850029,81000,150,64,36,109,41,3232276,0,81000,1617731,9784,44217,160,0,0,0.000,2444719.000,12929.104,0.666,20,0
4910325,82000,150,64,36,104,46,3272686,0,82000,1637617,9913,44766,160,0,0,0.000,2470155.750,13090.744,0.666,20,0
4970421,83000,150,64,36,116,34,3312713,0,83000,1657686,10027,45241,160,0,0,0.000,2496214.250,13250.852,0.666,20,0
5031244,84000,150,64,36,109,41,3353490,0,84000,1677732,10156,45773,160,0,0,0.000,2524013.500,13413.960,0.667,20,0
5090089,85000,150,64,36,109,41,3392171,0,85000,1697896,10288,46309,160,0,0,0.000,2548981.250,13568.684,0.666,20,0
5150592,86000,150,64,36,117,33,3432529,0,86000,1718041,10408,46788,160,0,0,0.000,2575402.250,13730.116,0.666,20,0
5210462,87000,150,63,37,111,39,3472268,0,87000,1738172,10507,47184,160,0,0,0.000,2623433.000,13889.072,0.666,20,0
5270264,88000,150,63,37,115,35,3512176,0,88000,1758066,10625,47685,160,0,0,0.000,2650120.750,14048.704,0.666,20,0
5330500,89000,150,62,38,111,39,3552147,0,89000,1778331,10742,48177,160,0,0,0.000,2677095.500,14208.588,0.666,20,0
5391576,90000,150,62,38,112,38,3592860,0,90000,1798694,10861,48678,160,0,0,0.000,2726007.750,14371.440,0.666,20,0
5451438,91000,150,61,39,107,43,3632755,0,91000,1818661,10983,49201,160,0,0,0.000,2752479.250,14531.020,0.666,20,0
5512036,92000,150,61,39,118,32,3673330,0,92000,1838684,11098,49704,160,0,0,0.000,2800904.250,14693.320,0.666,20,0
5572710,93000,150,60,40,127,23,3713647,0,93000,1859041,11203,50138,160,0,0,0.000,2850593.250,14854.588,0.666,20,0
5632451,94000,150,60,40,114,36,3753402,0,94000,1879027,11314,50626,160,0,0,0.000,2878304.250,15013.608,0.666,20,0
5691689,95000,150,59,41,114,36,3792584,0,95000,1899083,11428,51107,160,0,0,0.000,2928986.500,15170.336,0.666,20,0
5751910,96000,150,59,41,118,32,3833221,0,96000,1918667,11536,51567,160,0,0,0.000,2955377.750,15332.884,0.666,20,0
5812069,97000,150,58,42,117,33,3873064,0,97000,1938983,11639,51997,160,0,0,0.000,3006557.500,15492.256,0.666,20,0
5872069,98000,150,57,43,112,38,3912762,0,98000,1959285,11752,52477,160,0,0,0.000,3056634.500,15651.048,0.666,20,0
5931861,99000,150,57,43,117,33,3952911,0,99000,1978928,11869,52963,160,0,0,0.000,3083345.000,15811.644,0.666,20,0
5991209,100000,150,55,45,115,35,3992306,0,100000,1998881,11979,53428,160,0,0,0.000,3157646.750,15969.224,0.666,20,0
6050749,101000,150,55,45,105,45,4031812,0,101000,2018915,12106,53961,160,0,0,0.000,3184361.000,16127.248,0.666,20,0
6111130,102000,150,55,45,111,39,4071985,0,102000,2039123,12225,54439,160,0,0,0.000,3210393.750,16287.940,0.666,20,0
6170001,103000,150,55,45,114,36,4110738,0,103000,2059241,12362,55034,160,0,0,0.000,3235244.750,16442.951,0.666,20,0
