processId,pid,state,priority,active,arrival,creationDelay,start,finish,totalCpu,remaining,currentInstance,contextSwitch,lastContextSwitch,totalContextSwitchTime,executed,timesExecuted,waiting,turnaround,ioDevice,ioRemaining,timesInIo,memoryRequested,totalMemoryAllocated,pageCount,pageFaults,swapIns,swapOuts,cpuWasteRatio,agingCounter,returnsToReady,cpuWasteCycles
AP-042,42,FINISHED,0,0,523,8,693697,15193383,73244,0,0,19,1841,37081,73244,1841,9898301,15192860,-1,0,227,30,160,8,886,878,883,0.000,0,0,0
AQ-043,43,FINISHED,0,1,445,50,8471,119647,696,0,0,28,17,377,696,17,118079,119202,-1,0,0,0,105,20,8,2,8,0.000,0,0,0
AR-044,44,FINISHED,0,1,90,12,1246,5707577,25804,0,0,23,659,12917,25804,659,4370242,5707487,-1,0,66,0,160,8,278,270,278,0.000,0,0,0
AS-045,45,FINISHED,0,0,719,41,9038512,14933032,38866,0,0,16,973,19597,38866,973,12736695,14932313,-1,0,121,0,160,8,440,430,435,0.000,0,0,0
AT-046,46,FINISHED,0,1,455,41,8561,10309792,44902,0,0,23,1131,22672,44902,1131,7499148,10309337,-1,0,131,25,400,20,614,594,614,0.000,0,0,0
AU-047,47,FINISHED,0,1,498,15,8924,4707907,20968,0,0,24,525,10550,20968,525,3509868,4707409,-1,0,61,0,400,20,314,294,314,0.000,0,0,0
AV-048,48,FINISHED,0,0,625,23,5322781,14908894,54571,0,0,15,1350,26630,54571,1350,11871766,14908269,-1,0,147,0,160,8,678,658,668,0.000,0,0,0
AW-049,49,FINISHED,0,0,665,19,6708599,11131501,19177,0,0,21,488,9743,19177,488,9918402,11130836,-1,0,58,0,400,20,283,263,283,0.000,0,0,0
AX-050,50,FINISHED,0,1,79,44,1689,13961310,67937,0,0,28,1691,33756,67937,1691,10151476,13961231,-1,0,204,0,160,8,795,787,795,0.000,0,0,0
AY-051,51,FINISHED,0,0,771,33,9771688,11623108,8775,0,0,20,228,4506,8775,228,11205021,11622337,-1,0,25,0,400,20,141,121,141,0.000,0,0,0
AZ-052,52,FINISHED,0,1,31,11,189,14927193,74363,0,0,24,1876,37555,74363,1876,10173708,14927162,-1,0,234,0,160,8,916,907,914,0.000,0,0,0
BA-053,53,FINISHED,0,1,246,17,4183,11175260,51297,0,0,13,1285,25592,51297,1285,8479963,11175014,-1,0,154,0,160,8,609,601,609,0.000,0,0,0
BB-054,54,FINISHED,0,1,37,42,820,11190365,49340,0,0,15,1220,24132,49340,1220,8064792,11190328,-1,0,130,0,160,8,530,522,530,0.000,0,0,0
BC-055,55,FINISHED,0,0,547,44,3191375,4986255,8451,0,0,29,211,4056,8451,211,4584700,4985708,-1,0,16,0,160,8,79,71,79,0.000,0,0,0
BD-056,56,FINISHED,0,0,624,12,4749740,6217258,7366,0,0,17,177,3546,7366,177,5911415,6216634,-1,0,18,0,400,20,102,82,102,0.000,0,0,0
BE-057,57,FINISHED,0,0,678,31,7099120,15832819,82505,0,0,17,2050,41088,82505,2050,12054604,15832141,-1,0,263,0,400,20,745,725,725,0.000,0,0,0
BF-058,58,FINISHED,0,0,562,5,1879365,13910498,58445,0,0,18,1455,29149,58445,1455,10407343,13909936,-1,0,169,0,160,8,675,667,675,0.000,0,0,0
BG-059,59,FINISHED,0,0,628,23,5330348,7784248,10870,0,0,16,274,5581,10870,274,7132180,7783620,-1,0,38,0,400,20,195,175,195,0.000,0,0,0
BH-060,60,FINISHED,0,0,790,48,10415275,13255877,14462,0,0,17,361,7264,14462,361,12267501,13255087,-1,0,42,0,160,8,183,175,183,0.000,0,0,0
BI-061,61,FINISHED,0,1,25,38,309,13826170,63664,0,0,24,1611,32186,63664,1611,9653493,13826145,-1,0,200,48,160,8,773,764,770,0.000,0,0,0
BJ-062,62,FINISHED,0,1,271,24,5124,11642995,50715,0,0,12,1292,26080,50715,1292,8468961,11642724,-1,0,162,0,400,20,779,759,779,0.000,0,0,0
BK-063,63,FINISHED,0,0,543,32,1986650,15466175,82940,0,0,22,2073,41752,82940,2073,11065572,15465632,-1,0,244,30,160,8,820,809,811,0.000,0,0,0
BL-064,64,FINISHED,0,0,724,22,8326477,13222614,24702,0,0,13,597,12161,24702,597,11711011,13221890,-1,0,65,0,400,20,323,303,323,0.000,0,0,0
BM-065,65,FINISHED,0,0,588,49,4969250,15224397,54493,0,0,27,1379,27512,54493,1379,11454684,15223809,-1,0,174,9,400,20,779,759,774,0.000,0,0,0
BN-066,66,FINISHED,0,1,286,7,5066,6718180,30894,0,0,21,758,15183,30894,758,5024375,6717894,-1,0,94,0,400,20,438,418,438,0.000,0,0,0
BO-067,67,FINISHED,0,1,205,47,3887,1980093,9846,0,0,30,244,4831,9846,244,1618967,1979888,-1,0,24,0,160,8,112,102,110,0.000,0,0,0
BP-068,68,FINISHED,0,0,638,17,5372887,15662102,70002,0,0,16,1729,34643,70002,1729,11815153,15661464,-1,0,225,0,400,20,864,844,845,0.000,0,0,0
BQ-069,69,FINISHED,0,0,637,33,5745212,13548499,39456,0,0,19,977,19607,39456,977,11402870,13547862,-1,0,118,0,400,20,545,525,541,0.000,0,0,0
BR-070,70,FINISHED,0,1,310,3,5443,10837651,47517,0,0,26,1195,24000,47517,1195,7891711,10837341,-1,0,144,0,400,20,661,641,661,0.000,0,0,0
