[2026-05-29 14:04:00.313] INFO: Context switch: proceso A-17, cambios: 5
[2026-05-29 14:04:00.334] INFO: Context switch: proceso A-24, cambios: 2
[2026-05-29 14:04:00.354] INFO: Context switch: proceso A-15, cambios: 6
[2026-05-29 14:04:00.374] INFO: Context switch: proceso A-30, cambios: 1
[2026-05-29 14:04:00.394] INFO: Context switch: proceso A-25, cambios: 2
[2026-05-29 14:04:00.415] INFO: Context switch: proceso A-7, cambios: 11
[2026-05-29 14:04:00.435] INFO: Context switch: proceso A-31, cambios: 1
[2026-05-29 14:04:00.455] INFO: Context switch: proceso A-26, cambios: 2
[2026-05-29 14:04:00.476] INFO: Context switch: proceso A-20, cambios: 4
[2026-05-29 14:04:00.496] INFO: Context switch: proceso A-32, cambios: 1
[2026-05-29 14:04:00.517] INFO: Context switch: proceso A-33, cambios: 1
[2026-05-29 14:04:00.537] INFO: Context switch: proceso A-11, cambios: 8
[2026-05-29 14:04:00.557] INFO: Context switch: proceso A-34, cambios: 1
[2026-05-29 14:04:00.577] INFO: Context switch: proceso A-28, cambios: 2
[2026-05-29 14:04:00.598] INFO: Context switch: proceso A-2, cambios: 3
[2026-05-29 14:04:00.618] INFO: Context switch: proceso A-21, cambios: 4
[2026-05-29 14:04:00.638] INFO: Context switch: proceso A-29, cambios: 2
[2026-05-29 14:04:00.658] INFO: Context switch: proceso A-12, cambios: 6
[2026-05-29 14:04:00.679] INFO: Context switch: proceso A-18, cambios: 3
[2026-05-29 14:04:00.699] INFO: Context switch: proceso A-35, cambios: 1
[2026-05-29 14:04:00.720] INFO: Context switch: proceso A-23, cambios: 3
[2026-05-29 14:04:00.740] INFO: Context switch: proceso A-17, cambios: 6
[2026-05-29 14:04:00.760] INFO: Context switch: proceso A-24, cambios: 3
[2026-05-29 14:04:00.780] INFO: Context switch: proceso A-36, cambios: 1
[2026-05-29 14:04:00.801] INFO: Context switch: proceso A-15, cambios: 7
[2026-05-29 14:04:00.821] INFO: Context switch: proceso A-25, cambios: 3
[2026-05-29 14:04:00.841] INFO: Context switch: proceso A-37, cambios: 1
[2026-05-29 14:04:00.861] INFO: Context switch: proceso A-30, cambios: 2
[2026-05-29 14:04:00.882] INFO: Context switch: proceso A-7, cambios: 12
[2026-05-29 14:04:00.903] INFO: Context switch: proceso A-38, cambios: 1
[2026-05-29 14:04:00.923] INFO: Context switch: proceso A-31, cambios: 2
[2026-05-29 14:04:00.943] INFO: Context switch: proceso A-39, cambios: 1
[2026-05-29 14:04:00.963] INFO: Context switch: proceso A-26, cambios: 3
[2026-05-29 14:04:00.984] INFO: Context switch: proceso A-20, cambios: 5
[2026-05-29 14:04:01.004] INFO: Context switch: proceso A-40, cambios: 1
[2026-05-29 14:04:01.024] INFO: Context switch: proceso A-3, cambios: 2
[2026-05-29 14:04:01.044] INFO: Context switch: proceso A-41, cambios: 1
[2026-05-29 14:04:01.065] INFO: Context switch: proceso A-33, cambios: 2
[2026-05-29 14:04:01.085] INFO: Context switch: proceso A-42, cambios: 1
[2026-05-29 14:04:01.105] INFO: Context switch: proceso A-11, cambios: 9
[2026-05-29 14:04:01.126] INFO: Context switch: proceso A-43, cambios: 1
[2026-05-29 14:04:01.146] INFO: Context switch: proceso A-34, cambios: 2
[2026-05-29 14:04:01.166] INFO: Context switch: proceso A-28, cambios: 3
[2026-05-29 14:04:01.186] INFO: Context switch: proceso A-44, cambios: 1
[2026-05-29 14:04:01.207] INFO: Context switch: proceso A-21, cambios: 5
[2026-05-29 14:04:01.227] INFO: Context switch: proceso A-29, cambios: 3
[2026-05-29 14:04:01.247] INFO: Context switch: proceso A-45, cambios: 1
[2026-05-29 14:04:01.267] INFO: Context switch: proceso A-46, cambios: 1
[2026-05-29 14:04:01.288] INFO: Context switch: proceso A-35, cambios: 2
[2026-05-29 14:04:01.311] INFO: Context switch: proceso A-47, cambios: 1
[2026-05-29 14:04:01.331] INFO: Context switch: proceso A-17, cambios: 7
[2026-05-29 14:04:01.352] INFO: Context switch: proceso A-48, cambios: 1
[2026-05-29 14:04:01.372] INFO: Context switch: proceso A-36, cambios: 2
[2026-05-29 14:04:01.393] INFO: Context switch: proceso A-49, cambios: 1
[2026-05-29 14:04:01.413] INFO: Context switch: proceso A-15, cambios: 8
[2026-05-29 14:04:01.434] INFO: Context switch: proceso A-25, cambios: 4
[2026-05-29 14:04:01.454] INFO: Context switch: proceso A-37, cambios: 2
[2026-05-29 14:04:01.474] INFO: Context switch: proceso A-50, cambios: 1
[2026-05-29 14:04:01.495] INFO: Context switch: proceso A-30, cambios: 3
[2026-05-29 14:04:01.516] INFO: Context switch: proceso A-7, cambios: 13
[2026-05-29 14:04:01.536] INFO: Context switch: proceso A-51, cambios: 1
[2026-05-29 14:04:01.558] INFO: Context switch: proceso A-52, cambios: 1
[2026-05-29 14:04:01.578] INFO: Context switch: proceso A-39, cambios: 2
[2026-05-29 14:04:01.599] INFO: Context switch: proceso A-26, cambios: 4
[2026-05-29 14:04:01.619] INFO: Context switch: proceso A-20, cambios: 6
[2026-05-29 14:04:01.639] INFO: Context switch: proceso A-53, cambios: 1
[2026-05-29 14:04:01.660] INFO: Context switch: proceso A-40, cambios: 2
[2026-05-29 14:04:01.680] INFO: Context switch: proceso A-54, cambios: 1
[2026-05-29 14:04:01.700] INFO: Context switch: proceso A-41, cambios: 2
[2026-05-29 14:04:01.721] INFO: Context switch: proceso A-33, cambios: 3
[2026-05-29 14:04:01.743] INFO: Context switch: proceso A-55, cambios: 1
[2026-05-29 14:04:01.766] INFO: Context switch: proceso A-56, cambios: 1
[2026-05-29 14:04:01.786] INFO: Context switch: proceso A-34, cambios: 3
[2026-05-29 14:04:01.806] INFO: Context switch: proceso A-28, cambios: 4
[2026-05-29 14:04:01.826] INFO: Context switch: proceso A-44, cambios: 2
[2026-05-29 14:04:01.847] INFO: Context switch: proceso A-21, cambios: 6
[2026-05-29 14:04:01.867] INFO: Context switch: proceso A-57, cambios: 1
[2026-05-29 14:04:01.887] INFO: Context switch: proceso A-29, cambios: 4
[2026-05-29 14:04:01.908] INFO: Context switch: proceso A-45, cambios: 2
[2026-05-29 14:04:01.931] INFO: Context switch: proceso A-46, cambios: 2
[2026-05-29 14:04:01.951] INFO: Context switch: proceso A-35, cambios: 3
[2026-05-29 14:04:01.972] INFO: Context switch: proceso A-58, cambios: 1
[2026-05-29 14:04:01.992] INFO: Context switch: proceso A-47, cambios: 2
[2026-05-29 14:04:02.012] INFO: Context switch: proceso A-6, cambios: 3
[2026-05-29 14:04:02.033] INFO: Context switch: proceso A-27, cambios: 2
[2026-05-29 14:04:02.053] INFO: Context switch: proceso A-23, cambios: 4
[2026-05-29 14:04:02.073] INFO: Context switch: proceso A-17, cambios: 8
[2026-05-29 14:04:02.094] INFO: Context switch: proceso A-59, cambios: 1
[2026-05-29 14:04:02.114] INFO: Context switch: proceso A-13, cambios: 3
[2026-05-29 14:04:02.138] INFO: Context switch: proceso A-48, cambios: 2
[2026-05-29 14:04:02.158] INFO: Context switch: proceso A-36, cambios: 3
[2026-05-29 14:04:02.179] INFO: Context switch: proceso A-49, cambios: 2
[2026-05-29 14:04:02.199] INFO: Context switch: proceso A-60, cambios: 1
[2026-05-29 14:04:02.220] INFO: Context switch: proceso A-15, cambios: 9
[2026-05-29 14:04:02.240] INFO: Context switch: proceso A-61, cambios: 1
[2026-05-29 14:04:02.261] INFO: Context switch: proceso A-25, cambios: 5
[2026-05-29 14:04:02.281] INFO: Context switch: proceso A-19, cambios: 2
[2026-05-29 14:04:02.302] INFO: Context switch: proceso A-43, cambios: 2
[2026-05-29 14:04:02.322] INFO: Context switch: proceso A-37, cambios: 3
[2026-05-29 14:04:02.344] INFO: Context switch: proceso A-50, cambios: 2
[2026-05-29 14:04:02.364] INFO: Context switch: proceso A-30, cambios: 4
[2026-05-29 14:04:02.385] INFO: Context switch: proceso A-62, cambios: 1
[2026-05-29 14:04:02.405] INFO: Context switch: proceso A-7, cambios: 14
[2026-05-29 14:04:02.426] INFO: Context switch: proceso A-51, cambios: 2
[2026-05-29 14:04:02.446] INFO: Context switch: proceso A-31, cambios: 3
[2026-05-29 14:04:02.467] INFO: Context switch: proceso A-39, cambios: 3
[2026-05-29 14:04:02.487] INFO: Context switch: proceso A-14, cambios: 2
[2026-05-29 14:04:02.507] INFO: Context switch: proceso A-26, cambios: 5
[2026-05-29 14:04:02.528] INFO: Context switch: proceso A-53, cambios: 2
[2026-05-29 14:04:02.549] INFO: Context switch: proceso A-40, cambios: 3
[2026-05-29 14:04:02.571] INFO: Context switch: proceso A-22, cambios: 3
[2026-05-29 14:04:02.591] INFO: Context switch: proceso A-54, cambios: 2
[2026-05-29 14:04:02.612] INFO: Context switch: proceso A-5, cambios: 2
[2026-05-29 14:04:02.632] INFO: Context switch: proceso A-63, cambios: 1
[2026-05-29 14:04:02.666] INFO: Context switch: proceso A-33, cambios: 4
[2026-05-29 14:04:02.687] INFO: Context switch: proceso A-64, cambios: 1
[2026-05-29 14:04:02.707] INFO: Context switch: proceso A-55, cambios: 2
[2026-05-29 14:04:02.728] INFO: Context switch: proceso A-65, cambios: 1
[2026-05-29 14:04:02.748] INFO: Context switch: proceso A-34, cambios: 4
